# OBS_DATE
2006-04-09T04:58:42.323
# TELESCOPE
ESO-VLT-U2
# INSTRUMENT
UVES
# TARGET
2MASS J13004255+1912354
# EXPOSURE TIME (SEC)
3899.9993
# PROGRAMME ID
077.C-0449(A)
# RIGHT ASCENSION
13:00:42.2
# DECLINATION
19:12:26.8
# DETECTOR GAIN
0.63
# WAVELENGTH UNIT
Angstrom
# FLUX UNIT
ADU
# COMMENT
Adapted from the FITS (Flexible Image Transport System) format is defined in 'Astronomy
and Astrophysics', volume 376, page 359; bibcode: 2001A&A...376..359H
# DATA
WAVELENGTH,FLUX
6651.3742,39.2738
6651.4133,37.7434
6651.4524,43.4893
6651.4915,41.1841
6651.5306,38.4114
6651.5697,34.2116
6651.6088,34.9311
6651.6479,46.2118
6651.6870,41.2566
6651.7261,38.5066
6651.7652,35.2414
6651.8043,43.0889
6651.8434,33.7862
6651.8825,36.3084
6651.9216,40.1172
6651.9607,43.7865
6651.9998,49.3775
6652.0389,48.6228
6652.0779,41.7924
6652.1170,36.0749
6652.1561,37.9972
6652.1952,37.2083
6652.2343,35.6189
6652.2734,41.6980
6652.3125,51.0436
6652.3516,38.1117
6652.3907,42.3837
6652.4298,38.7356
6652.4689,37.4014
6652.5080,43.4976
6652.5471,36.2035
6652.5862,37.7574
6652.6253,34.2399
6652.6644,40.4186
6652.7035,42.9429
6652.7426,41.5169
6652.7817,38.9747
6652.8207,39.6487
6652.8598,48.9502
6652.8989,42.0616
6652.9380,42.1729
6652.9771,38.0271
6653.0162,47.4690
6653.0553,53.0369
6653.0944,55.8986
6653.1335,50.3660
6653.1726,41.3957
6653.2117,33.6880
6653.2508,39.0161
6653.2899,43.2068
6653.3290,35.0078
6653.3681,28.8904
6653.4072,36.0379
6653.4463,36.9620
6653.4854,35.7930
6653.5245,34.2650
6653.5635,34.0641
6653.6026,41.8510
6653.6417,46.6228
6653.6808,43.6304
6653.7199,35.5708
6653.7590,36.3630
6653.7981,40.1646
6653.8372,42.9521
6653.8763,40.2711
6653.9154,35.0986
6653.9545,42.0875
6653.9936,35.4513
6654.0327,36.0421
6654.0718,43.0078
6654.1109,53.8853
6654.1500,38.1706
6654.1891,43.3129
6654.2282,47.4891
6654.2673,42.9638
6654.3063,36.5781
6654.3454,46.0759
6654.3845,43.2098
6654.4236,36.3157
6654.4627,40.2673
6654.5018,45.9944
6654.5409,48.5227
6654.5800,50.0152
6654.6191,49.6131
6654.6582,40.1183
6654.6973,36.1079
6654.7364,40.8324
6654.7755,45.3581
6654.8146,42.7137
6654.8537,41.5538
6654.8928,34.7401
6654.9319,38.8439
6654.9710,46.7923
6655.0100,39.0676
6655.0491,47.7512
6655.0882,41.9240
6655.1273,35.5485
6655.1664,33.6298
6655.2055,39.4492
6655.2446,37.1830
6655.2837,42.4333
6655.3228,38.8039
6655.3619,38.6419
6655.4010,49.1260
6655.4401,42.1797
6655.4792,41.6275
6655.5183,45.7549
6655.5574,44.1637
6655.5965,45.0467
6655.6356,44.9212
6655.6747,38.4157
6655.7138,25.4285
6655.7528,39.2110
6655.7919,34.0318
6655.8310,32.8812
6655.8701,40.4458
6655.9092,57.4699
6655.9483,33.6815
6655.9874,30.8233
6656.0265,33.1437
6656.0656,36.1269
6656.1047,35.1836
6656.1438,42.2186
6656.1829,38.5655
6656.2220,36.1723
6656.2611,37.1437
6656.3002,41.8816
6656.3393,42.2716
6656.3784,33.4760
6656.4175,36.8957
6656.4566,40.9529
6656.4956,53.0626
6656.5347,43.9714
6656.5738,42.7270
6656.6129,44.8099
6656.6520,38.7909
6656.6911,41.1248
6656.7302,50.4818
6656.7693,50.4164
6656.8084,46.7963
6656.8475,46.9808
6656.8866,47.4377
6656.9257,44.3703
6656.9648,44.6881
6657.0039,42.8058
6657.0430,42.7346
6657.0821,61.1740
6657.1212,44.8502
6657.1603,43.2542
6657.1994,51.8709
6657.2384,50.1026
6657.2775,39.6178
6657.3166,37.2822
6657.3557,37.0103
6657.3948,38.7320
6657.4339,50.7891
6657.4730,43.7841
6657.5121,41.9438
6657.5512,41.7940
6657.5903,42.8001
6657.6294,50.9473
6657.6685,49.3717
6657.7076,52.7329
6657.7467,49.0905
6657.7858,34.0329
6657.8249,42.6448
6657.8640,55.4533
6657.9031,51.6997
6657.9422,44.3605
6657.9812,43.2626
6658.0203,35.0586
6658.0594,45.0647
6658.0985,46.0252
6658.1376,43.9996
6658.1767,46.2098
6658.2158,54.0298
6658.2549,37.8017
6658.2940,44.2727
6658.3331,46.7752
6658.3722,36.5074
6658.4113,41.2869
6658.4504,37.5655
6658.4895,39.0929
6658.5286,43.6926
6658.5677,49.2345
6658.6068,34.6494
6658.6459,42.4235
6658.6850,40.7226
6658.7240,41.2367
6658.7631,46.8990
6658.8022,33.1044
6658.8413,27.3507
6658.8804,34.1276
6658.9195,42.5693
6658.9586,42.5383
6658.9977,33.8518
6659.0368,34.8456
6659.0759,45.8026
6659.1150,48.9754
6659.1541,41.6216
6659.1932,50.2261
6659.2323,45.2674
6659.2714,36.1740
6659.3105,33.1949
6659.3496,46.6945
6659.3887,39.8579
6659.4277,55.9983
6659.4668,53.4543
6659.5059,50.6120
6659.5450,42.3272
6659.5841,43.2221
6659.6232,48.8920
6659.6623,41.9824
6659.7014,36.1540
6659.7405,50.8340
6659.7796,42.5165
6659.8187,54.7628
6659.8578,50.9296
6659.8969,46.6593
6659.9360,38.8678
6659.9751,33.7818
6660.0142,41.8409
6660.0533,40.2566
6660.0924,39.3833
6660.1315,38.6716
6660.1705,28.6128
6660.2096,29.1961
6660.2487,34.9068
6660.2878,34.5338
6660.3269,26.7841
6660.3660,25.6433
6660.4051,30.8056
6660.4442,36.8141
6660.4833,37.7303
6660.5224,34.1437
6660.5615,32.0973
6660.6006,38.1961
6660.6397,36.9172
6660.6788,40.0879
6660.7179,41.0163
6660.7570,43.1466
6660.7961,43.1721
6660.8352,37.1794
6660.8743,41.7300
6660.9133,46.7318
6660.9524,40.2925
6660.9915,43.8786
6661.0306,31.0644
6661.0697,30.4587
6661.1088,43.4654
6661.1479,35.6166
6661.1870,28.2258
6661.2261,45.6899
6661.2652,41.2174
6661.3043,35.5901
6661.3434,36.5097
6661.3825,40.3246
6661.4216,38.4734
6661.4607,29.9903
6661.4998,39.4026
6661.5389,38.2414
6661.5780,36.1887
6661.6171,40.8083
6661.6561,38.6844
6661.6952,31.8807
6661.7343,28.4318
6661.7734,32.1849
6661.8125,32.7122
6661.8516,33.9466
